,token_index,PredictedEth
0,544,44.54325196471774
1,3134,44.54325196471774
2,5056,93.21989423662572
3,5719,46.5966765977789
4,6548,44.54325196471774
5,5621,46.5966765977789
6,6208,44.54325196471774
7,5545,46.5966765977789
8,5624,44.54325196471774
9,4025,44.54325196471774
10,6934,44.54325196471774
11,8781,44.54325196471774
12,8878,44.54325196471774
13,0,46.5966765977789
14,4641,46.5966765977789
15,5633,44.54325196471774
16,6318,44.54325196471774
18,5916,44.54325196471774
19,1841,46.5966765977789
20,9926,46.5966765977789
21,4148,44.54325196471774
22,1416,44.54325196471774
23,2539,44.54325196471774
24,4445,44.54325196471774
25,5921,44.54325196471774
26,5546,44.54325196471774
27,5138,44.54325196471774
28,1657,44.54325196471774
29,1376,44.54325196471774
30,3507,44.54325196471774
31,9963,44.54325196471774
32,4842,44.54325196471774
33,4509,44.54325196471774
34,9131,46.5966765977789
35,1216,44.54325196471774
36,4640,44.54325196471774
37,5167,46.5966765977789
38,8142,46.5966765977789
39,1050,46.5966765977789
40,4167,46.5966765977789
41,9439,44.54325196471774
42,3614,107.47436178610502
43,2789,44.54325196471774
44,2997,46.5966765977789
45,4468,46.5966765977789
46,6315,44.54325196471774
47,6140,44.54325196471774
48,8037,46.5966765977789
50,1036,44.54325196471774
51,944,46.5966765977789
52,2614,44.54325196471774
53,9549,46.5966765977789
54,7935,46.5966765977789
55,1380,44.54325196471774
56,7926,44.54325196471774
57,8925,44.54325196471774
58,8940,44.54325196471774
59,5141,44.54325196471774
60,4661,44.54325196471774
61,5715,44.54325196471774
62,1732,44.54325196471774
63,5104,44.54325196471774
64,8152,44.54325196471774
65,1,44.54325196471774
66,2883,44.54325196471774
67,1054,44.54325196471774
68,9874,44.54325196471774
69,6687,44.54325196471774
70,6549,46.5966765977789
71,7735,46.5966765977789
72,8521,44.54325196471774
73,8027,46.5966765977789
74,9207,107.47436178610502
75,1231,44.54325196471774
76,1259,44.54325196471774
77,2048,107.47436178610502
78,6229,44.54325196471774
79,6247,44.54325196471774
80,7001,44.54325196471774
81,8507,44.54325196471774
82,8517,44.54325196471774
83,7223,44.54325196471774
84,7197,44.54325196471774
85,4547,46.5966765977789
86,1784,44.54325196471774
87,1257,44.54325196471774
88,7862,46.5966765977789
89,1146,44.54325196471774
90,1802,44.54325196471774
91,7982,46.5966765977789
92,4379,107.47436178610502
93,861,46.5966765977789
94,4971,44.54325196471774
95,3530,44.54325196471774
96,3544,44.54325196471774
97,1160,44.54325196471774
98,641,46.5966765977789
99,6642,44.54325196471774
100,2624,46.5966765977789
102,6726,44.54325196471774
103,3363,44.54325196471774
104,1274,44.54325196471774
105,5742,317.7356806308703
106,8523,46.5966765977789
107,5880,44.54325196471774
108,3226,44.54325196471774
109,9571,46.5966765977789
110,3119,46.5966765977789
111,6316,44.54325196471774
112,8527,46.5966765977789
113,8526,46.5966765977789
114,3257,46.5966765977789
115,5734,46.5966765977789
116,1886,317.7356806308703
117,1374,317.7356806308703
118,4747,317.7356806308703
119,4565,107.47436178610502
120,1702,44.54325196471774
121,4140,46.5966765977789
122,7369,46.5966765977789
123,5520,44.54325196471774
124,4047,107.47436178610502
125,1338,44.54325196471774
126,1430,44.54325196471774
127,1385,44.54325196471774
128,1324,44.54325196471774
